PXD,SampleGroup,RegulatorBaseAccession,GeneSymbol,WholeProteomeRelativePercentile,DetectedSampleCount,QuantSampleCount,DetectedSampleFraction,MedianLog2SignalDetected,Measurement,SourceFile
PXD050470,human hippocampus,Q8IXJ6,SIRT2,97.2372964972866,3,3,1,5.54619938691807,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q8N6T7,SIRT6,0,0,3,0,,"",""
PXD050470,human hippocampus,Q8WUI4,HDAC7,0,0,3,0,,"",""
PXD050470,human hippocampus,Q8WYB5,KAT6B,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92769,HDAC2,47.7553034040454,3,3,1,0.895813727950222,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q92785,DPF2,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92793,CREBBP,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92794,KAT6A,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92830,KAT2A,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92831,KAT2B,0,0,3,0,,"",""
PXD050470,human hippocampus,Q92993,KAT5,0,0,3,0,,"",""
PXD050470,human hippocampus,Q969S8,HDAC10,0,0,3,0,,"",""
PXD050470,human hippocampus,Q96DB2,HDAC11,70.9587238940964,3,3,1,2.03837825298517,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q96EB6,SIRT1,0,0,3,0,,"",""
PXD050470,human hippocampus,Q99497,PARK7,97.3359644795264,3,3,1,5.58734673147152,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9BWD1,ACAT2,85.972701858247,3,3,1,3.23807989017017,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9BY41,HDAC8,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9H7Z6,KAT8,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9H8E8,CSRP2BP,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9H8M2,BRD9,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9H9T3,ELP3,36.1618154908732,3,3,1,0.408712719970774,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9NRC8,SIRT7,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9NTG7,SIRT3,54.300279559283,3,3,1,1.04343261404726,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9NXA8,SIRT5,68.5742476566354,3,3,1,1.81010520062061,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9UBN7,HDAC6,39.8618648248643,3,3,1,0.498548710732262,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9UKN8,GTF3C4,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9UKV0,HDAC9,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9ULM3,YEATS2,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9UPN9,TRIM33,5.73918763361289,3,3,1,0.0676411739030843,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9UQL6,HDAC5,25.2261141259661,3,3,1,0.224593642409273,same-study ordinary whole-proteome relative intensity; direct UniProt ID,data/PXD050470/supplementary/prca2331-sup-0006-tables4.xlsx
PXD050470,human hippocampus,Q9Y232,CDYL,0,0,3,0,,"",""
PXD050470,human hippocampus,Q9Y6E7,SIRT4,0,0,3,0,,"",""
PXD053474,HCT116,O14929,HAT1,37.2970272295778,1,1,1,2.09942734747767,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD053474,HCT116,O15379,HDAC3,0,0,1,0,,"",""
PXD053474,HCT116,O60885,BRD4,14.2393205096178,1,1,1,1.75101576555873,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD053474,HCT116,O75607,NPM3,81.0392205845616,1,1,1,2.75093837403743,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD053474,HCT116,O95251,KAT7,14.4641518860854,1,1,1,1.75508404224598,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
PXD053474,HCT116,P05783,KRT18,99.8501124156882,1,1,1,3.65672279136954,ordinary proteome log2 protein abundance; rank-preserving,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt
