Model,GroupID,Ensembl,ConnGroup,Observed,InSample,Heldout
Protein_depth,KLA31_06,ENSG00000167588,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000167701,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000168291,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000170571,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000172270,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000172340,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000172840,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000173599,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000198814,2,1,0.74646261615533,0.774359916937539
Protein_depth,KLA31_06,ENSG00000256870,2,0,0.74646261615533,0.774359916937539
Protein_depth,KLA31_07,ENSG00000004799,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000005882,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000060762,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000063854,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000067992,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000068976,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000079739,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000090861,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000091140,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000100156,5,0,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000100504,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000100889,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000100994,5,1,0.743432783993573,0.726023479468682
Protein_depth,KLA31_07,ENSG00000111716,5,1,0.743432783993573,0.726023479468682
