UniProt,Term,AnnotationID,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation,Ensembl,Entrez,Symbol,Experimental,CommonMatrix
A0ACI8TQG1,GO:0006096,UniProtKB:A0ACI8TQG1!26691527,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TQG1,GO:0006096,UniProtKB:A0ACI8TQG1!26691529,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TQL3,GO:0006096,UniProtKB:A0ACI8TQL3!355315600,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TQL3,GO:0006096,UniProtKB:A0ACI8TQL3!355315602,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TQY7,GO:0006094,UniProtKB:A0ACI8TQY7!444945526,involved_in,GO:0006094,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PCK2,FALSE,TRUE,ENSG00000100889,,PCK2,FALSE,TRUE
A0ACI8TR48,GO:0006096,UniProtKB:A0ACI8TR48!56574873,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TR48,GO:0006096,UniProtKB:A0ACI8TR48!56574875,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRF9,GO:0006096,UniProtKB:A0ACI8TRF9!355315680,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRF9,GO:0006096,UniProtKB:A0ACI8TRF9!355315682,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRQ0,GO:0006096,UniProtKB:A0ACI8TRQ0!474798591,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRQ0,GO:0006096,UniProtKB:A0ACI8TRQ0!474798593,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRS3,GO:0006096,UniProtKB:A0ACI8TRS3!56574933,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRS3,GO:0006096,UniProtKB:A0ACI8TRS3!56574935,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRS5,GO:0006096,UniProtKB:A0ACI8TRS5!56574939,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TRS5,GO:0006096,UniProtKB:A0ACI8TRS5!56574941,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE,ENSG00000067225,,PKM,FALSE,TRUE
A0ACI8TS83,GO:0006099,UniProtKB:A0ACI8TS83!444945617,involved_in,GO:0006099,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,SUCLA2,FALSE,TRUE,ENSG00000136143,,SUCLA2,FALSE,TRUE
A0ACI8TS92,GO:0006096,UniProtKB:A0ACI8TS92!146205421,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,TPI1,FALSE,TRUE,ENSG00000111669,,TPI1,FALSE,TRUE
A0ACI8TSC8,GO:0006096,UniProtKB:A0ACI8TSC8!325450956,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,TPI1,FALSE,TRUE,ENSG00000111669,,TPI1,FALSE,TRUE
