Term,AnnotationID,UniProt,Qualifier,AnnotatedGO,Evidence,ECO,Reference,Taxon,AssignedBy,AnnotationDate,SourceSymbol,ExcludedNOT,DirectAnnotation
GO:0006096,UniProtKB:A0ACI8S9Z1!295573740,A0ACI8S9Z1,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8S9Z1!295573743,A0ACI8S9Z1,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SBF0!265710047,A0ACI8SBF0,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SBN9!116325729,A0ACI8SBN9,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8SBN9!116325732,A0ACI8SBN9,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SBX9!415063692,A0ACI8SBX9,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGAM1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SE43!86429637,A0ACI8SE43,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SED6!56571337,A0ACI8SED6,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOB,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SEN1!56571356,A0ACI8SEN1,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SLB9!265710752,A0ACI8SLB9,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,HK2,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8STE1!325448342,A0ACI8STE1,enables,GO:0003872,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8STE1!325448345,A0ACI8STE1,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8STI1!474795801,A0ACI8STI1,enables,GO:0003872,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8STI1!474795804,A0ACI8STI1,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PFKL,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SWW7!205922496,A0ACI8SWW7,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOC,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8SWX2!295575397,A0ACI8SWX2,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ALDOC,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8T9Z1!235813344,A0ACI8T9Z1,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TA21!146203904,A0ACI8TA21,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TA25!56573696,A0ACI8TA25,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TA42!176046430,A0ACI8TA42,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TA53!86432268,A0ACI8TA53,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TA79!295576602,A0ACI8TA79,involved_in,GO:0006096,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PGK1,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TFA8!146204382,A0ACI8TFA8,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TFF4!86432844,A0ACI8TFF4,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,ENO3,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TNQ6!385174493,A0ACI8TNQ6,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TNQ8!205924588,A0ACI8TNQ8,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000104,9606,UniProt,20260727,ADPGK,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPN7!86433658,A0ACI8TPN7,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPN7!86433660,A0ACI8TPN7,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPP9!116329546,A0ACI8TPP9,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPP9!116329548,A0ACI8TPP9,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPQ8!116329552,A0ACI8TPQ8,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPQ8!116329554,A0ACI8TPQ8,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPR7!415067625,A0ACI8TPR7,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPR7!415067627,A0ACI8TPR7,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPV6!176047661,A0ACI8TPV6,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPV6!176047663,A0ACI8TPV6,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TPY3!86433702,A0ACI8TPY3,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TPY3!86433704,A0ACI8TPY3,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TQG1!26691527,A0ACI8TQG1,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TQG1!26691529,A0ACI8TQG1,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
GO:0006096,UniProtKB:A0ACI8TQL3!355315600,A0ACI8TQL3,enables,GO:0004743,IEA,ECO:0000501,GO_REF:0000120,9606,UniProt,20260727,PKM,FALSE,FALSE
GO:0006096,UniProtKB:A0ACI8TQL3!355315602,A0ACI8TQL3,involved_in,GO:0006096,IEA,ECO:0000256,GO_REF:0000002,9606,InterPro,20260727,PKM,FALSE,TRUE
