Ensembl,ReferenceKey,SampleN,MedianB,Q25,Q75,Min,Max
ENSG00000114268,GSE114691_control_placenta,21,3.5493029808935,3.33531834861036,3.64037063776439,2.99627934294489,3.97003931799514
ENSG00000115159,GSE114691_control_placenta,21,2.90985117015163,2.73962595561736,3.21304354890057,2.50040194684822,3.44790605446181
ENSG00000116288,GSE114691_control_placenta,21,6.32300026906785,6.22906511990014,6.45123173404027,5.95619099727226,6.9869711983376
ENSG00000117118,GSE114691_control_placenta,21,5.36168331709297,5.29298912076093,5.39263265576977,5.15239596900908,5.56127580291457
ENSG00000118596,GSE114691_control_placenta,21,-0.789888846942428,-0.812034640052763,-0.657557704451196,-0.886815550696057,-0.455176927343385
ENSG00000119689,GSE114691_control_placenta,21,5.79407141891785,5.76528789544934,5.83997984567839,5.63650177525997,6.23602517250006
ENSG00000120053,GSE114691_control_placenta,21,4.76112262151435,4.6705271325605,4.94835396818884,4.52559849208861,5.2365167861733
ENSG00000123836,GSE114691_control_placenta,21,1.3784800473249,1.23176390632592,1.49686724986326,0.980244665837104,1.7123601377653
ENSG00000124253,GSE114691_control_placenta,21,-0.851510027495753,-0.92358237986125,-0.753780873551922,-0.978421263756725,-0.481676944363096
ENSG00000124532,GSE114691_control_placenta,21,3.92756975666031,3.76997818671462,4.00002013606876,3.60648474977804,4.38193824556125
ENSG00000124608,GSE114691_control_placenta,21,2.81103966324536,2.72014811191837,2.97850456935151,2.40461978122844,3.37876132675459
ENSG00000124767,GSE114691_control_placenta,21,5.36021246724652,5.21170640762113,5.56127580291457,5.01035353563382,6.13087126284786
ENSG00000128272,GSE114691_control_placenta,21,8.44205824826589,8.34095730609102,8.53794937586686,7.65996709871933,8.72430862598437
ENSG00000130957,GSE114691_control_placenta,21,-0.637345411493152,-0.742999475233341,-0.498524503097425,-0.839609391101983,-0.316924873431831
ENSG00000131069,GSE114691_control_placenta,21,4.58232406482416,4.47165520793573,4.70051198787421,4.21487442621917,5.1197073804341
ENSG00000131482,GSE114691_control_placenta,21,-0.583741403871402,-0.692762312481328,-0.438516585862677,-0.807936181998107,-0.106705921475823
ENSG00000131828,GSE114691_control_placenta,21,5.0379973457724,4.94835396818884,5.1352542778581,4.79700282291502,5.26936141315934
ENSG00000132326,GSE114691_control_placenta,21,2.56806679082092,2.42372994273876,2.87528747768616,1.8709574327899,3.22421157845736
ENSG00000134056,GSE114691_control_placenta,21,4.49565162190151,4.37079028078914,4.61260927596957,4.05392566004287,4.90639983469737
ENSG00000134333,GSE114691_control_placenta,21,6.30190372495116,5.91368874837925,6.53383079426245,5.28298341038468,7.05137066363103
ENSG00000135094,GSE114691_control_placenta,21,0.642233988209247,0.422048215383644,0.818162527231567,-0.0800874207842685,1.13641490005311
ENSG00000136143,GSE114691_control_placenta,21,3.16006034922246,3.04676599140409,3.20043902201387,2.75267496416038,3.39431353900019
ENSG00000136872,GSE114691_control_placenta,21,-0.902266975493681,-0.95552772272747,-0.866974611131926,-0.995860281495593,-0.506423556784237
ENSG00000137700,GSE114691_control_placenta,21,2.99277166063765,2.90003189872544,3.15979492416879,2.74346061091353,3.28088751423325
ENSG00000138030,GSE114691_control_placenta,21,0.493319723391461,0.245180469772243,0.788951832574276,-0.0598266846975398,1.07315037975762
ENSG00000138207,GSE114691_control_placenta,21,1.10350021893334,0.644451786740431,1.69763301237548,-0.0474320750776368,3.31817485448954
ENSG00000138400,GSE114691_control_placenta,21,-0.766646690152711,-0.855538394161381,-0.596605248867598,-0.994840613240873,-0.534334277179232
ENSG00000138413,GSE114691_control_placenta,21,5.87243786867282,5.71011629215353,6.05502337858001,5.28617309334662,6.50627345304401
ENSG00000141349,GSE114691_control_placenta,21,3.44823706675325,3.32632263362002,3.52864708208687,3.14274048045247,3.76101318820327
ENSG00000141526,GSE114691_control_placenta,21,4.97357502801793,4.37119741500021,5.16313283839056,3.45167548935136,6.04993561993389
ENSG00000141959,GSE114691_control_placenta,21,5.75275806560628,5.68854293759263,5.85870094368725,5.58242760187573,6.00198027275127
ENSG00000143158,GSE114691_control_placenta,21,4.52218031933593,4.32263357865883,4.73203458148378,4.13802156273487,5.2909586390462
ENSG00000143252,GSE114691_control_placenta,21,6.62513127400934,6.56467575070235,6.75623247337492,6.44366145743895,7.1586683471242
ENSG00000143627,GSE114691_control_placenta,21,-0.934866311331994,-0.994583369140861,-0.864043299907316,-0.996661456132471,-0.689973381007246
ENSG00000146701,GSE114691_control_placenta,21,5.8770111039033,5.77597623110718,5.93824351682235,5.65132769948407,6.3034048906021
ENSG00000148942,GSE114691_control_placenta,21,0.0197647220568152,-0.0844608546258551,0.133551704996361,-0.34603461931397,0.443371235467004
ENSG00000149476,GSE114691_control_placenta,21,2.63564785740301,2.5299759679733,2.70369382843779,2.44626878733767,2.8710000494417
ENSG00000149925,GSE114691_control_placenta,21,7.77191881507872,7.67347419666476,7.913599300285,7.2823738155412,8.09890012743727
ENSG00000150768,GSE114691_control_placenta,21,2.93246308387775,2.85784931913817,3.0536889104438,2.60210250756915,3.16809094237432
ENSG00000152254,GSE114691_control_placenta,21,-0.909771918126809,-0.945096573319969,-0.787431039149181,-0.996661456132471,-0.499461698148359
