GroupID,Model,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_01,ME_P,tendon_nondiabetic,1,112,22,0.196428571428571,0.430982251907871,0.234553680479299,0.234553680479299
KLA31_02,ME_P,GTEx_v8_Lung,2,280,21,0.075,0.388436441237125,0.313436441237125,0.313436441237125
KLA31_03,ME_P,GSE181540_HS_input,3,70,14,0.2,0.483206321866319,0.283206321866319,0.283206321866319
KLA31_04,ME_P,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.477679904219236,0.148732535798183,0.148732535798183
KLA31_05,ME_P,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.403660787153135,0.232427910440806,0.232427910440806
KLA31_06,ME_P,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.391228383839044,0.356140664540799,0.356140664540799
KLA31_07,ME_P,sperm_GroupI,6,276,5,0.0181159420289855,0.383897972271651,0.365782030242665,0.365782030242665
KLA31_08,ME_P,GSE132714_BPH,7,280,128,0.457142857142857,0.379230615483722,-0.0779122416591352,0.0779122416591352
KLA31_11,ME_P,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.376389891156214,-0.0826848419398717,0.0826848419398717
KLA31_09,ME_P,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.384051093289623,-0.130874279844705,0.130874279844705
KLA31_12,ME_P,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.386079844764874,-0.0870384348050185,0.0870384348050185
KLA31_10,ME_P,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.39965573117682,0.114933508954598,0.114933508954598
KLA31_13,ME_P,MCF7_DMSO7d,10,167,87,0.520958083832335,0.438451629729705,-0.0825064541026304,0.0825064541026304
KLA31_20,ME_P,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.424090399358987,-0.181623886355299,0.181623886355299
KLA31_21,ME_P,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.439090591196942,-0.13313163102528,0.13313163102528
KLA31_29,ME_P,GSE103520_MCF10A_control,10,155,62,0.4,0.359843924819245,-0.0401560751807546,0.0401560751807546
KLA31_14,ME_P,HCT116_control,11,205,27,0.131707317073171,0.474124370225504,0.342417053152333,0.342417053152333
KLA31_15,ME_P,HCT116_control,11,205,52,0.253658536585366,0.474124370225504,0.220465833640138,0.220465833640138
KLA31_16,ME_P,HCT116_control,11,323,224,0.693498452012384,0.415108903075332,-0.278389548937052,0.278389548937052
KLA31_17,ME_P,GSE163787_TALL104,11,192,34,0.177083333333333,0.475375519618929,0.298292186285595,0.298292186285595
KLA31_25,ME_P,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.450486601085037,0.308695556308918,0.308695556308918
KLA31_18,ME_P,HepG2_DMSO24h,12,303,228,0.752475247524752,0.307626194800428,-0.444849052724325,0.444849052724325
KLA31_19,ME_P,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.429989946920794,-0.0614386245077777,0.0614386245077777
KLA31_22,ME_P,PC3M_DMSO,14,177,28,0.15819209039548,0.44186711745779,0.28367502706231,0.28367502706231
KLA31_23,ME_P,GSE266884_MES28_vector_control,15,320,220,0.6875,0.354597549180067,-0.332902450819933,0.332902450819933
KLA31_30,ME_P,GSE119834_NSC,15,307,164,0.534201954397394,0.318784746160551,-0.215417208236843,0.215417208236843
KLA31_24,ME_P,RKO_DMSO,16,193,90,0.466321243523316,0.424815973596981,-0.0415052699263352,0.0415052699263352
KLA31_26,ME_P,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.403867396788857,-0.0874218018174147,0.0874218018174147
KLA31_27,ME_P,HK2_untreated,18,216,141,0.652777777777778,0.400943384278341,-0.251834393499436,0.251834393499436
KLA31_28,ME_P,HK2_untreated,18,216,89,0.412037037037037,0.400943384278341,-0.0110936527586956,0.0110936527586956
KLA31_31,ME_P,HUVEC_untreated,19,323,172,0.532507739938081,0.377824299124376,-0.154683440813705,0.154683440813705
KLA31_01,ME2P,tendon_nondiabetic,1,112,22,0.196428571428571,0.417259030556384,0.220830459127813,0.220830459127813
KLA31_02,ME2P,GTEx_v8_Lung,2,280,21,0.075,0.373861509693857,0.298861509693857,0.298861509693857
KLA31_03,ME2P,GSE181540_HS_input,3,70,14,0.2,0.501666637095019,0.301666637095019,0.301666637095019
KLA31_04,ME2P,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.481126645304673,0.15217927688362,0.15217927688362
KLA31_05,ME2P,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.400991467378124,0.229758590665795,0.229758590665795
KLA31_06,ME2P,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.398811325098342,0.363723605800096,0.363723605800096
KLA31_07,ME2P,sperm_GroupI,6,276,5,0.0181159420289855,0.503883238248196,0.485767296219211,0.485767296219211
KLA31_08,ME2P,GSE132714_BPH,7,280,128,0.457142857142857,0.369673220712255,-0.0874696364306025,0.0874696364306025
KLA31_11,ME2P,TCGA_PRAD_primary,7,281,129,0.459074733096086,0.391962110104672,-0.0671126229914132,0.0671126229914132
KLA31_09,ME2P,TCGA_LIHC_normal,8,134,69,0.514925373134328,0.389074792358641,-0.125850580775687,0.125850580775687
KLA31_12,ME2P,TCGA_LIHC_primary,8,186,88,0.473118279569893,0.396233273417447,-0.0768850061524458,0.0768850061524458
KLA31_10,ME2P,TCGA_ESCA_ESCC,9,288,82,0.284722222222222,0.400072903496896,0.115350681274674,0.115350681274674
KLA31_13,ME2P,MCF7_DMSO7d,10,167,87,0.520958083832335,0.470645658743755,-0.0503124250885803,0.0503124250885803
KLA31_20,ME2P,MDAMB468_DMSO7d,10,175,106,0.605714285714286,0.435522876702031,-0.170191409012255,0.170191409012255
KLA31_21,ME2P,GSE283812_T47D_vehicle,10,180,103,0.572222222222222,0.465353018720057,-0.106869203502165,0.106869203502165
KLA31_29,ME2P,GSE103520_MCF10A_control,10,155,62,0.4,0.365319061387999,-0.0346809386120014,0.0346809386120014
KLA31_14,ME2P,HCT116_control,11,205,27,0.131707317073171,0.475996831973229,0.344289514900058,0.344289514900058
KLA31_15,ME2P,HCT116_control,11,205,52,0.253658536585366,0.475996831973229,0.222338295387863,0.222338295387863
KLA31_16,ME2P,HCT116_control,11,323,224,0.693498452012384,0.415547083909654,-0.277951368102729,0.277951368102729
KLA31_17,ME2P,GSE163787_TALL104,11,192,34,0.177083333333333,0.48186527038162,0.304781937048286,0.304781937048286
