release,release_date,filename,url,md5_hash
DepMap Public 25Q2,2025-06-27,KYRawReadcounts.csv,,adcf2163ecfb2d5de90f32fb8d967a54
DepMap Public 25Q2,2025-06-27,AvanaLogfoldChange.csv,,098bb5c851339838262dfc517ae5d0e9
DepMap Public 25Q2,2025-06-27,HumagneLogfoldChange.csv,,449ff784b3f18d2a17bb7f9756f53096
DepMap Public 25Q2,2025-06-27,KYLogfoldChange.csv,,f4ab93920b692363cba32362272440e8
DepMap Public 25Q2,2025-06-27,AvanaGuideMap.csv,,380bb5e44d36e16bbc66123e3560e302
DepMap Public 25Q2,2025-06-27,HumagneGuideMap.csv,,b39017ad2f2bcd0a23200fdeb76861c9
DepMap Public 25Q2,2025-06-27,KYGuideMap.csv,,2e9f561a2514acb038af644a21065bee
DepMap Public 25Q2,2025-06-27,AchillesScreenQCReport.csv,,a72aee750f0daba5d55e46785c682db1
DepMap Public 25Q2,2025-06-27,AchillesSequenceQCReport.csv,,a44550590b702e8872f233febb2665c5
DepMap Public 25Q2,2025-06-27,AchillesHighVarianceGeneControls.csv,,5e774422fe172a3a99caa51e2bb0faaa
DepMap Public 25Q2,2025-06-27,OmicsCNSegmentsProfileWGS.csv,,e711e6ae41c59a68247e15b4e2a81d81
DepMap Public 25Q2,2025-06-27,OmicsCNGeneWGS.csv,,ec326394dcb8838d02fb9c6447c7b5fd
DepMap Public 25Q2,2025-06-27,PortalOmicsCNGeneLog2.csv,,e1aaa01a8d076f676f16dde37196c0cc
DepMap Public 25Q2,2025-06-27,OmicsSomaticMutations.csv,,7cf311223a79558cf40dc3159fe28d8a
DepMap Public 25Q2,2025-06-27,OmicsSomaticMutationsProfile.csv,,d5ffcdc58ffe02a6223816d4caa7fc45
DepMap Public 25Q2,2025-06-27,OmicsSomaticMutationsMAFProfile.maf,,35cd622fc33b59ee2db20389a914c39d
DepMap Public 25Q2,2025-06-27,OmicsSomaticMutationsMatrixHotspot.csv,,da3252e8a1b40aab2472545b8d67b521
DepMap Public 25Q2,2025-06-27,OmicsSomaticMutationsMatrixDamaging.csv,,72d07df307e82e9ca6f0c569fc28ccd6
DepMap Public 25Q2,2025-06-27,OmicsProfiles.csv,,aff44325f8abbbb4ee4d2f8e6282ea56
DepMap Public 25Q2,2025-06-27,OmicsDefaultModelConditionProfiles.csv,,dfd699119a16f0d5c5f63116144f5a98
DepMap Public 25Q2,2025-06-27,OmicsGuideMutationsBinaryKY.csv,,403c32ba1312ae567a61b0e48dc4b6b8
DepMap Public 25Q2,2025-06-27,OmicsGuideMutationsBinaryHumagne.csv,,50a62e6031d80b3a2a6f882b0fee31b4
DepMap Public 25Q2,2025-06-27,OmicsGuideMutationsBinaryAvana.csv,,cc2c289816f379cdab047d888e75f3ac
DepMap Public 25Q2,2025-06-27,OmicsGlobalSignatures.csv,,204b29163af151a620aed952203dd41c
DepMap Public 25Q2,2025-06-27,OmicsGlobalSignaturesProfile.csv,,de675d447a480daf813b91b5ba3e47f6
DepMap Public 25Q2,2025-06-27,Model.csv,,9f7b51859a22c6fbe4c8cce43ae4bdf5
DepMap Public 25Q2,2025-06-27,ModelCondition.csv,,3f3ee2d2a2425f9b8da776c4ea63474d
DepMap Public 25Q2,2025-06-27,OmicsMicrosatelliteRepeatsProfile.csv,,f4bb8d5e27779fd6356a1a5b2afd6e1b
DepMap Public 25Q2,2025-06-27,Gene.csv,,db5fb3f1f06365f59664bb6ec6578947
DepMap Public 25Q2,2025-06-27,PortalCompounds.csv,,8d5450b7e702cbce91d2be6e734a95ae
DepMap Public 25Q2,2025-06-27,OmicsCNGeneWES.csv,,f8f989c13cb3d1f99a0fd2857dc3ac47
DepMap Public 25Q2,2025-06-27,OmicsCNSegmentsProfileWES.csv,,ca71f9786d3657b9013ef1f9d5ac228e
DepMap Public 25Q2,2025-06-27,OmicsCNGeneProfileWGS.csv,,99dab46e8846eacac982fa5e0d65daa9
DepMap Public 25Q2,2025-06-27,OmicsCNGeneProfileWES.csv,,35655d640152a421df57e7d8acbad0a1
DepMap Public 25Q2,2025-06-27,OmicsExpressionEffectiveLengthHumanAllGenes.csv,,45c97d2364c25c9d89d715f15cb32601
DepMap Public 25Q2,2025-06-27,OmicsExpressionEffectiveLengthHumanAllGenesStranded.csv,,22d49213b788d9d4db796906b689b773
