ConnGroup,LogLoss,Model,candidate_lambda,OuterConnGroup
9,0.537280974773966,ME_P,0.05,2
10,0.529165095395878,ME_P,0.05,2
18,0.566142882339116,ME_P,0.05,2
7,0.527651340014393,ME_P,0.05,2
11,0.626003796645263,ME_P,0.05,2
12,0.973025204499312,ME_P,0.05,2
1,0.546778127569429,ME_P,0.05,2
4,0.590567390912864,ME_P,0.05,2
5,0.605172926648066,ME_P,0.05,2
17,0.46045442968259,ME_P,0.05,2
3,0.579714338744354,ME_P,0.05,2
14,0.532761729813289,ME_P,0.05,2
15,0.669490527953479,ME_P,0.05,2
6,0.585270758866295,ME_P,0.05,2
13,0.502539131284792,ME_P,0.05,2
16,0.583853878032629,ME_P,0.05,2
19,0.58257763258738,ME_P,0.05,2
8,0.602400946225247,ME_P,0.1,2
9,0.537282457962874,ME_P,0.1,2
10,0.529172494054777,ME_P,0.1,2
18,0.566148543689877,ME_P,0.1,2
7,0.527654548538429,ME_P,0.1,2
11,0.625995508328714,ME_P,0.1,2
12,0.973000346809377,ME_P,0.1,2
1,0.546775572343647,ME_P,0.1,2
4,0.590561207971294,ME_P,0.1,2
5,0.60516560362493,ME_P,0.1,2
17,0.460461511785218,ME_P,0.1,2
3,0.579709251247899,ME_P,0.1,2
14,0.532759729895294,ME_P,0.1,2
15,0.669490013254897,ME_P,0.1,2
6,0.585263588707118,ME_P,0.1,2
13,0.502544213196906,ME_P,0.1,2
16,0.583854177937224,ME_P,0.1,2
19,0.582580079316334,ME_P,0.1,2
8,0.602411705397103,ME_P,0.3,2
9,0.537288392114475,ME_P,0.3,2
10,0.529202082224731,ME_P,0.3,2
18,0.56617118490657,ME_P,0.3,2
7,0.527667387093056,ME_P,0.3,2
