Entry	Gene Names (primary)	Gene Names	Protein names
Q8TCD1	C18orf32	C18orf32	UPF0729 protein C18orf32 (Putative NF-kappa-B-activating protein 200)
Q8TCD5	NT5C	NT5C DNT1 UMPH2	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)
Q8TCE6	DENND10	DENND10 FAM45A	DENN domain-containing protein 10 (Protein FAM45A)
Q8TCE9	LGALS14	LGALS14 PPL13	Placental protein 13-like (Charcot-Leyden crystal protein 2) (CLC2) (Galectin-14) (Gal-14)
Q8TCF1	ZFAND1	ZFAND1	AN1-type zinc finger protein 1 (Zinc finger AN1-type-containing protein 1)
Q8TCG1	CIP2A	CIP2A KIAA1524	Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)
Q8TCG2	PI4K2B	PI4K2B	Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta) (PI4KII-BETA)
Q8TCG5	CPT1C	CPT1C CATL1	Palmitoyl thioesterase CPT1C (EC 3.1.2.22) (Carnitine O-palmitoyltransferase 1, brain isoform) (CPTI-B) (Carnitine palmitoyltransferase 1C) (Carnitine palmitoyltransferase I) (CPT I-C)
Q8TCI5	CIMAP3	CIMAP3 C1orf88 PIFO	Ciliary microtubule-associated protein 3 (Protein pitchfork)
Q8TCJ0	FBXO25	FBXO25 FBX25	F-box only protein 25
Q8TCJ2	STT3B	STT3B SIMP	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)
Q8TCQ1	MARCHF1	MARCHF1 MARCH1 RNF171	E3 ubiquitin-protein ligase MARCHF1 (EC 2.3.2.27) (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I) (MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1)
Q8TCS8	PNPT1	PNPT1 PNPASE	Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1) (PNPase 1) (Polynucleotide phosphorylase-like protein)
Q8TCT0	CERK	CERK KIAA1646	Ceramide kinase (hCERK) (EC 2.7.1.138) (Acylsphingosine kinase) (Lipid kinase 4) (LK4)
Q8TCT1	PHOSPHO1	PHOSPHO1	Phosphoethanolamine/phosphocholine phosphatase (EC 3.1.3.75)
Q8TCT6	SPPL3	SPPL3 IMP2 PSL4	Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin homologous protein 1) (PSH1) (Presenilin-like protein 4)
Q8TCT7	SPPL2B	SPPL2B IMP4 KIAA1532 PSL1	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-) (Intramembrane protease 4) (IMP-4) (Presenilin homologous protein 4) (PSH4) (Presenilin-like protein 1)
Q8TCT8	SPPL2A	SPPL2A IMP3 PSL2 PSEC0147	Signal peptide peptidase-like 2A (SPP-like 2A) (SPPL2a) (EC 3.4.23.-) (Intramembrane protease 3) (IMP-3) (Presenilin-like protein 2)
Q8TCT9	HM13	HM13 H13 IMP1 PSL3 SPP MSTP086	Signal peptide peptidase (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Minor histocompatibility antigen H13) (Presenilin-like protein 3) (Signal peptide peptidase-like 1)
Q8TCU3	SLC7A13	SLC7A13 AGT1 XAT2	Solute carrier family 7 member 13 (Sodium-independent aspartate/glutamate transporter 1) (X-amino acid transporter 2)
Q8TCU4	ALMS1	ALMS1 KIAA0328	Centrosome-associated protein ALMS1 (Alstrom syndrome protein 1)
Q8TCU5	GRIN3A	GRIN3A KIAA1973	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)
Q8TCU6	PREX1	PREX1 KIAA1415	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein (P-Rex1) (PtdIns(3,4,5)-dependent Rac exchanger 1)
Q8TCX1	DYNC2LI1	DYNC2LI1 D2LIC LIC3 CGI-60	Cytoplasmic dynein 2 light intermediate chain 1 (Dynein 2 light intermediate chain)
Q8TCX5	RHPN1	RHPN1 KIAA1929	Rhophilin-1 (GTP-Rho-binding protein 1)
Q8TCY5	MRAP	MRAP C21orf61 FALP	Melanocortin-2 receptor accessory protein (B27) (Fat cell-specific low molecular weight protein) (Fat tissue-specific low MW protein)
Q8TCY9	URGCP	URGCP KIAA1507 URG4	Up-regulator of cell proliferation (HBV X protein up-regulated gene 4 protein) (HBxAg up-regulated gene 4 protein)
Q8TCZ2	CD99L2	CD99L2 MIC2L1 UNQ1964/PRO4486	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)
Q8TD06	AGR3	AGR3 BCMP11 PDIA18 UNQ642/PRO1272	Anterior gradient protein 3 (AG-3) (AG3) (hAG-3) (Anterior gradient 3 homolog) (Breast cancer membrane protein 11) (Protein disulfide isomerase family A, member 18)
Q8TD07	RAET1E	RAET1E LETAL N2DL4 ULBP4 UNQ1867/PRO4303	Retinoic acid early transcript 1E (Lymphocyte effector toxicity activation ligand) (NKG2D ligand 4) (N2DL-4) (NKG2DL4) (RAE-1-like transcript 4) (UL16-binding protein 4)
Q8TD08	MAPK15	MAPK15 ERK7 ERK8	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)
Q8TD10	MIPOL1	MIPOL1	Mirror-image polydactyly gene 1 protein
Q8TD16	BICD2	BICD2 KIAA0699	Protein bicaudal D homolog 2 (Bic-D 2)
Q8TD17	ZNF398	ZNF398 KIAA1339 ZER6	Zinc finger protein 398 (Zinc finger DNA-binding protein p52/p71)
Q8TD19	NEK9	NEK9 KIAA1995 NEK8 NERCC	Serine/threonine-protein kinase Nek9 (EC 2.7.11.38) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)
Q8TD20	SLC2A12	SLC2A12 GLUT12	Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)
Q8TD22	SFXN5	SFXN5	Sideroflexin-5
Q8TD23	ZNF675	ZNF675 TIZ	Zinc finger protein 675 (TRAF6-binding zinc finger protein) (TRAF6-inhibitory zinc finger protein)
Q8TD26	CHD6	CHD6 CHD5 KIAA1335 RIGB	ATP-dependent chromatin remodeler CHD6 (EC 3.6.4.-) (Chromo domain-containing protein 6) (CHD-6) (Radiation-induced gene B protein)
Q8TD30	GPT2	GPT2 AAT2 ALT2	Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)
Q8TD31	CCHCR1	CCHCR1 C6orf18 HCR	Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein) (Putative gene 8 protein) (Pg8)
Q8TD43	TRPM4	TRPM4 LTRPC4	Transient receptor potential cation channel subfamily M member 4 (hTRPM4) (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (Melastatin-4)
Q8TD46	CD200R1	CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)
Q8TD57	DNAH3	DNAH3 DNAHC3B	Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)
Q8TD84	DSCAML1	DSCAML1 DSCAM2 KIAA1132	Cell adhesion molecule DSCAML1 (Down syndrome cell adhesion molecule 2) (Down syndrome cell adhesion molecule-like protein 1)
Q8TD91	MAGEC3	MAGEC3 HCA2	Melanoma-associated antigen C3 (Cancer/testis antigen 7.2) (CT7.2) (Hepatocellular carcinoma-associated antigen 2) (MAGE-C3 antigen)
Q8TDB4	MGARP	MGARP C4orf49 CESP1 HUMMR OSAP GS3582	Protein MGARP (Corneal endothelium-specific protein 1) (CESP-1) (Hypoxia up-regulated mitochondrial movement regulator protein) (Mitochondria-localized glutamic acid-rich protein) (Ovary-specific acidic protein)
Q8TDB6	DTX3L	DTX3L BBAP	E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2)
Q8TDB8	SLC2A14	SLC2A14 GLUT14	Solute carrier family 2, facilitated glucose transporter member 14 (Glucose transporter type 14) (GLUT-14)
Q8TDC0	MYOZ3	MYOZ3 FRP3	Myozenin-3 (Calsarcin-3) (FATZ-related protein 3)
Q8TDC3	BRSK1	BRSK1 KIAA1811 SAD1 SADB	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)
Q8TDD1	DDX54	DDX54	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)
Q8TDD2	SP7	SP7 OSX	Transcription factor Sp7 (Zinc finger protein osterix)
Q8TDD5	MCOLN3	MCOLN3	Mucolipin-3 (Transient receptor potential channel mucolipin 3) (TRPML3)
Q8TDE3	RNASE8	RNASE8	Ribonuclease 8 (RNase 8) (EC 3.1.27.-)
Q8TDF5	NETO1	NETO1 BTCL1	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)
Q8TDF6	RASGRP4	RASGRP4	RAS guanyl-releasing protein 4
Q8TDG2	ACTRT1	ACTRT1 ARPT1 HSD27	Actin-related protein T1 (ARP-T1)
Q8TDG4	HELQ	HELQ HEL308	Helicase POLQ-like (EC 5.6.2.4) (Mus308-like helicase) (POLQ-like helicase)
Q8TDH9	BLOC1S5	BLOC1S5 MUTED	Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog)
Q8TDI0	CHD5	CHD5 KIAA0444	ATP-dependent chromatin remodeler CHD5 (EC 3.6.4.-) (Chromo domain-containing protein 5) (CHD-5)
Q8TDI7	TMC2	TMC2 C20orf145 UNQ907/PRO1928	Transmembrane channel-like protein 2 (Transmembrane cochlear-expressed protein 2)
Q8TDI8	TMC1	TMC1	Transmembrane channel-like protein 1 (Transmembrane cochlear-expressed protein 1)
Q8TDJ6	DMXL2	DMXL2 KIAA0856	DmX-like protein 2 (Rabconnectin-3)
Q8TDL5	BPIFB1	BPIFB1 C20orf114 LPLUNC1 UNQ706/PRO1357	BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (von Ebner minor salivary gland protein) (VEMSGP)
Q8TDM5	SPACA4	SPACA4 SAMP14 UNQ3046/PRO9862	Sperm acrosome membrane-associated protein 4 (Sperm acrosomal membrane-associated protein 14)
Q8TDM6	DLG5	DLG5 KIAA0583 PDLG	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)
Q8TDN1	KCNG4	KCNG4 KCNG3	Voltage-gated potassium channel regulatory subunit KCNG4 (Potassium voltage-gated channel subfamily G member 4) (Voltage-gated potassium channel subunit Kv6.3) (Voltage-gated potassium channel subunit Kv6.4)
Q8TDN2	KCNV2	KCNV2	Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)
Q8TDN4	CABLES1	CABLES1 CABLES	CDK5 and ABL1 enzyme substrate 1 (Interactor with CDK3 1) (Ik3-1)
Q8TDN7	ACER1	ACER1 ASAH3	Alkaline ceramidase 1 (AlkCDase 1) (Alkaline CDase 1) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3)
Q8TDP1	RNASEH2C	RNASEH2C AYP1	Ribonuclease H2 subunit C (RNase H2 subunit C) (Aicardi-Goutieres syndrome 3 protein) (AGS3) (RNase H1 small subunit) (Ribonuclease HI subunit C)
Q8TDQ0	HAVCR2	HAVCR2 TIM3 TIMD3	Hepatitis A virus cellular receptor 2 (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366)
Q8TDQ1	CD300LF	CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111	CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Immune receptor expressed on myeloid cells 1) (IREM-1) (Immunoglobulin superfamily member 13) (IgSF13) (NK inhibitory receptor) (CD antigen CD300f)
Q8TDQ7	GNPDA2	GNPDA2 GNP2	Glucosamine-6-phosphate deaminase 2 (GlcN6P deaminase 2) (EC 3.5.99.6) (Glucosamine-6-phosphate isomerase 2) (Glucosamine-6-phosphate isomerase SB52)
Q8TDR0	TRAF3IP1	TRAF3IP1 IFT54 MIPT3	TRAF3-interacting protein 1 (Interleukin-13 receptor alpha 1-binding protein 1) (Intraflagellar transport protein 54 homolog) (Microtubule-interacting protein associated with TRAF3) (MIP-T3)
Q8TDR2	STK35	STK35 CLIK1 PDIK1 STK35L1	Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)
Q8TDR4	TCP10L	TCP10L PRED77	T-complex protein 10A homolog 1 (T-complex protein 10A-1) (TCP10A-1) (TCP10-like)
Q8TDS4	HCAR2	HCAR2 GPR109A HCA2 HM74A NIACR1	Hydroxycarboxylic acid receptor 2 (G protein-coupled receptor 109A) (G protein-coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor)
Q8TDS5	OXER1	OXER1 GPR170 TG1019	Oxoeicosanoid receptor 1 (5-oxo-ETE G protein-coupled receptor) (G protein-coupled receptor 170) (G protein-coupled receptor R527) (G protein-coupled receptor TG1019)
Q8TDS7	MRGPRD	MRGPRD MRGD	Mas-related G protein-coupled receptor member D (Beta-alanine receptor) (G protein-coupled receptor TGR7)
Q8TDT2	GPR152	GPR152 PGR5	Probable G protein-coupled receptor 152 (G protein-coupled receptor PGR5)
Q8TDU6	GPBAR1	GPBAR1 TGR5	G protein-coupled bile acid receptor 1 (G protein-coupled receptor GPCR19) (hGPCR19) (Membrane-type receptor for bile acids) (M-BAR) (hBG37) (BG37)
Q8TDV0	GPR151	GPR151 GALR4 GALRL PGR7	G protein-coupled receptor 151 (G protein-coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein) (GalRL)
Q8TDW0	LRRC8C	LRRC8C AD158 FAD158	Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)
Q8TDW5	SYTL5	SYTL5 SLP5	Synaptotagmin-like protein 5
Q8TDW7	FAT3	FAT3 CDHF15 KIAA1989	Protocadherin Fat 3 (hFat3) (Cadherin family member 15) (FAT tumor suppressor homolog 3)
Q8TDX5	ACMSD	ACMSD	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)
Q8TDX6	CSGALNACT1	CSGALNACT1 CHGN GALNACT1 UNQ656/PRO1287	Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)
Q8TDX7	NEK7	NEK7	Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)
Q8TDX9	PKD1L1	PKD1L1 PC1L1 UNQ5785/PRO19563	Polycystin-1-like protein 1 (Polycystin-1L1) (PC1-like 1 protein) (Polycystic kidney disease protein 1-like 1)
Q8TDY2	RB1CC1	RB1CC1 KIAA0203 RBICC	RB1-inducible coiled-coil protein 1 (FAK family kinase-interacting protein of 200 kDa) (FIP200)
Q8TDY4	ASAP3	ASAP3 DDEFL1 UPLC1	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)
Q8TDZ2	MICAL1	MICAL1 MICAL NICAL	[F-actin]-monooxygenase MICAL1 (EC 1.14.13.225) (EC 1.6.3.1) (Molecule interacting with CasL protein 1) (MICAL-1) (NEDD9-interacting protein with calponin homology and LIM domains)
Q8TE02	ELP5	ELP5 C17orf81 DERP6 HSPC002 MSTP071	Elongator complex protein 5 (Dermal papilla-derived protein 6) (S-phase 2 protein)
Q8TE04	PANK1	PANK1 PANK	Pantothenate kinase 1 (hPanK) (hPanK1) (EC 2.7.1.33) (Pantothenic acid kinase 1)
Q8TE12	LMX1A	LMX1A	LIM homeobox transcription factor 1-alpha (LIM/homeobox protein 1.1) (LMX-1.1) (LIM/homeobox protein LMX1A)
Q8TE23	TAS1R2	TAS1R2 GPR71 T1R2 TR2	Taste receptor type 1 member 2 (G protein-coupled receptor 71) (Sweet taste receptor T1R2)
Q8TE49	OTUD7A	OTUD7A C15orf16 CEZANNE2 OTUD7	OTU domain-containing protein 7A (EC 3.4.19.12) (Zinc finger protein Cezanne 2)
Q8TE54	SLC26A7	SLC26A7 SUT2	Anion exchange transporter (Solute carrier family 26 member 7)
Q8TE56	ADAMTS17	ADAMTS17	A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-)
Q8TE57	ADAMTS16	ADAMTS16 KIAA2029	A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-)
Q8TE58	ADAMTS15	ADAMTS15	A disintegrin and metalloproteinase with thrombospondin motifs 15 (ADAM-TS 15) (ADAM-TS15) (ADAMTS-15) (EC 3.4.24.-)
Q8TE59	ADAMTS19	ADAMTS19	A disintegrin and metalloproteinase with thrombospondin motifs 19 (ADAM-TS 19) (ADAM-TS19) (ADAMTS-19) (EC 3.4.24.-)
Q8TE60	ADAMTS18	ADAMTS18 ADAMTS21	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)
Q8TE67	EPS8L3	EPS8L3 EPS8R3	Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3)
Q8TE68	EPS8L1	EPS8L1 DRC3 EPS8R1 PP10566	Epidermal growth factor receptor kinase substrate 8-like protein 1 (EPS8-like protein 1) (Epidermal growth factor receptor pathway substrate 8-related protein 1) (EPS8-related protein 1)
Q8TE73	DNAH5	DNAH5 DNAHC5 HL1 KIAA1603	Dynein axonemal heavy chain 5 (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)
Q8TE76	MORC4	MORC4 ZCW4 ZCWCC2	MORC family CW-type zinc finger protein 4 (Zinc finger CW-type coiled-coil domain protein 2) (Zinc finger CW-type domain protein 4)
Q8TE77	SSH3	SSH3 SSH3L	Protein phosphatase Slingshot homolog 3 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 3) (SSH-3L) (hSSH-3L)
Q8TE85	GRHL3	GRHL3 SOM TFCP2L4	Grainyhead-like protein 3 homolog (Sister of mammalian grainyhead) (Transcription factor CP2-like 4)
Q8TE99	PXYLP1	PXYLP1 ACPL2 HEL124 XYLP UNQ370/PRO706	2-phosphoxylose phosphatase 1 (EC 3.1.3.-) (Acid phosphatase-like protein 2) (Xylosyl phosphatase) (epididymis luminal protein 124)
Q8TEA1	NSUN6	NSUN6 NOPD1	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 (EC 2.1.1.-) (NOL1/NOP2/Sun and PUA domain-containing protein 1) (NOL1/NOP2/Sun domain family member 6)
Q8TEA7	TBCK	TBCK FERRY1 TBCKL HSPC302	TBC domain-containing protein kinase-like protein (FERRY endosomal RAB5 effector complex subunit 1) (Fy-1)
Q8TEA8	DTD1	DTD1 C20orf88 DUEB HARS2	D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related)
Q8TEB1	DCAF11	DCAF11 WDR23 GL014 PRO2389	DDB1- and CUL4-associated factor 11 (WD repeat-containing protein 23)
Q8TEB7	RNF128	RNF128	E3 ubiquitin-protein ligase RNF128 (EC 2.3.2.27) (Gene related to anergy in lymphocytes protein) (GRAIL) (RING finger protein 128) (RING-type E3 ubiquitin transferase RNF128)
Q8TEB9	RHBDD1	RHBDD1 RHBDL4 HSD-50 HSD50	Rhomboid-related protein 4 (RRP4) (EC 3.4.21.105) (Rhomboid domain-containing protein 1) (Rhomboid-like protein 4)
Q8TEC5	SH3RF2	SH3RF2 POSH3 POSHER PPP1R39 RNF158	E3 ubiquitin-protein ligase SH3RF2 (EC 2.3.2.27) (Heart protein phosphatase 1-binding protein) (HEPP1) (POSH-eliminating RING protein) (Protein phosphatase 1 regulatory subunit 39) (RING finger protein 158) (RING-type E3 ubiquitin transferase SH3RF2) (SH3 domain-containing RING finger protein 2)
Q8TED0	UTP15	UTP15	U3 small nucleolar RNA-associated protein 15 homolog
Q8TED1	GPX8	GPX8 UNQ847/PRO1785	Protein peroxidase GPX8 (GPx-8) (GSHPx-8) (EC 5.3.4.1)
Q8TED4	SLC37A2	SLC37A2	Glucose-6-phosphate exchanger SLC37A2 (Solute carrier family 37 member 2)
Q8TED9	AFAP1L1	AFAP1L1	Actin filament-associated protein 1-like 1 (AFAP1-like protein 1)
Q8TEH3	DENND1A	DENND1A FAM31A KIAA1608	DENN domain-containing protein 1A (Connecdenn 1) (Connecdenn) (Protein FAM31A)
Q8TEJ3	SH3RF3	SH3RF3 POSH2 SH3MD4	E3 ubiquitin-protein ligase SH3RF3 (EC 2.3.2.27) (Plenty of SH3s 2) (SH3 domain-containing RING finger protein 3) (SH3 multiple domains protein 4)
Q8TEK3	DOT1L	DOT1L KIAA1814 KMT4	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Disruptor of telomeric silencing 1-like histone lysine methyltransferase) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)
Q8TEL6	TRPC4AP	TRPC4AP C20orf188 TRRP4AP	Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS)
Q8TEM1	NUP210	NUP210 KIAA0906 PSEC0245	Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa)
Q8TEP8	CEP192	CEP192 KIAA1569 PP8407	Centrosomal protein of 192 kDa (Cep192) (Cep192/SPD-2)
Q8TEQ6	GEMIN5	GEMIN5	Gem-associated protein 5 (Gemin5)
Q8TEQ8	PIGO	PIGO UNQ632/PRO1249	GPI ethanolamine phosphate transferase 3, catalytic subunit (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class O protein) (PIG-O) (hGPCR43)
Q8TER0	SNED1	SNED1	Sushi, nidogen and EGF-like domain-containing protein 1 (Insulin-responsive sequence DNA-binding protein 1) (IRE-BP1)
Q8TER5	ARHGEF40	ARHGEF40 SOLO	Rho guanine nucleotide exchange factor 40 (Protein SOLO) (Scambio) (Sabi)
Q8TES7	FBF1	FBF1 ALB KIAA1863	Fas-binding factor 1 (FBF-1) (Protein albatross)
Q8TEU7	RAPGEF6	RAPGEF6 PDZGEF2	Rap guanine nucleotide exchange factor 6 (PDZ domain-containing guanine nucleotide exchange factor 2) (PDZ-GEF2) (RA-GEF-2)
Q8TEU8	WFIKKN2	WFIKKN2 GASP1 WFIKKNRP UNQ9235/PRO31996	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (Growth and differentiation factor-associated serum protein 1) (GASP-1) (hGASP-1) (WAP, follistatin, immunoglobulin, Kunitz and NTR domain-containing-related protein) (WFIKKN-related protein)
Q8TEV9	SMCR8	SMCR8	Guanine nucleotide exchange protein SMCR8 (Smith-Magenis syndrome chromosomal region candidate gene 8 protein)
Q8TEW0	PARD3	PARD3 PAR3 PAR3A	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
Q8TEW6	DOK4	DOK4	Docking protein 4 (Downstream of tyrosine kinase 4) (Insulin receptor substrate 5) (IRS-5) (IRS5)
Q8TEW8	PARD3B	PARD3B ALS2CR19 PAR3B PAR3L	Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein)
Q8TEX9	IPO4	IPO4 IMP4B RANBP4	Importin-4 (Imp4) (Importin-4b) (Imp4b) (Ran-binding protein 4) (RanBP4)
Q8TEY5	CREB3L4	CREB3L4 AIBZIP CREB4 JAL	Cyclic AMP-responsive element-binding protein 3-like protein 4 (cAMP-responsive element-binding protein 3-like protein 4) (Androgen-induced basic leucine zipper protein) (AIbZIP) (Attaching to CRE-like 1) (ATCE1) (Cyclic AMP-responsive element-binding protein 4) (CREB-4) (cAMP-responsive element-binding protein 4) (Transcript induced in spermiogenesis protein 40) (Tisp40) (hJAL) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 4]
Q8TEY7	USP33	USP33 KIAA1097 VDU1	Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33) (VHL-interacting deubiquitinating enzyme 1) (hVDU1)
Q8TEZ7	PAQR8	PAQR8 C6orf33 LMPB1 MPRB	Membrane progestin receptor beta (mPR beta) (Lysosomal membrane protein in brain 1) (Membrane progesterone P4 receptor beta) (Membrane progesterone receptor beta) (Progesterone and adipoQ receptor family member 8) (Progestin and adipoQ receptor family member 8) (Progestin and adipoQ receptor family member VIII)
Q8TF01	PNISR	PNISR C6orf111 SFRS18 SRRP130 HSPC261 HSPC306	Arginine/serine-rich protein PNISR (PNN-interacting serine/arginine-rich protein) (SR-related protein) (SR-rich protein) (Serine/arginine-rich-splicing regulatory protein 130) (SRrp130) (Splicing factor, arginine/serine-rich 130) (Splicing factor, arginine/serine-rich 18)
Q8TF05	PPP4R1	PPP4R1 MEG1 PP4R1	Serine/threonine-protein phosphatase 4 regulatory subunit 1
Q8TF09	DYNLRB2	DYNLRB2 DNCL2B DNLC2B ROBLD2	Dynein light chain roadblock-type 2 (Dynein light chain 2B, cytoplasmic) (Roadblock domain-containing protein 2)
Q8TF17	SH3TC2	SH3TC2 KIAA1985 PP12494	SH3 domain and tetratricopeptide repeat-containing protein 2
