"BaseAccession"	"Reviewed"	"Entry Name"	"Protein names"	"Gene Names (primary)"	"Gene Ontology IDs"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Protein families"	"Domain [FT]"
"Q9C0B1"	"reviewed"	"FTO_HUMAN"	"Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)"	"FTO"	"GO:0001659; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006307; GO:0008198; GO:0010883; GO:0016180; GO:0016607; GO:0016740; GO:0035515; GO:0035516; GO:0040014; GO:0042245; GO:0044065; GO:0060612; GO:0061157; GO:0070350; GO:0090335; GO:1990931; GO:1990984"	"adipose tissue development [GO:0060612]; DNA alkylation repair [GO:0006307]; mRNA destabilization [GO:0061157]; regulation of brown fat cell differentiation [GO:0090335]; regulation of lipid storage [GO:0010883]; regulation of multicellular organism growth [GO:0040014]; regulation of respiratory system process [GO:0044065]; regulation of white fat cell proliferation [GO:0070350]; RNA repair [GO:0042245]; snRNA processing [GO:0016180]; temperature homeostasis [GO:0001659]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"broad specificity oxidative DNA demethylase activity [GO:0035516]; ferrous iron binding [GO:0008198]; mRNA N6-methyladenosine dioxygenase activity [GO:1990931]; oxidative RNA demethylase activity [GO:0035515]; transferase activity [GO:0016740]; tRNA demethylase activity [GO:1990984]"	"Fto family"	""
"Q9C0C2"	"reviewed"	"TB182_HUMAN"	"182 kDa tankyrase-1-binding protein"	"TNKS1BP1"	"GO:0000289; GO:0000792; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0005912; GO:0006302; GO:0007004; GO:0019899; GO:0030014; GO:0043539; GO:0044877; GO:0045296; GO:0071479; GO:0071532"	"cellular response to ionizing radiation [GO:0071479]; double-strand break repair [GO:0006302]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; telomere maintenance via telomerase [GO:0007004]"	"adherens junction [GO:0005912]; CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; heterochromatin [GO:0000792]; nucleus [GO:0005634]"	"ankyrin repeat binding [GO:0071532]; cadherin binding [GO:0045296]; enzyme binding [GO:0019899]; protein serine/threonine kinase activator activity [GO:0043539]; protein-containing complex binding [GO:0044877]"	""	""
"Q9C0J8"	"reviewed"	"WDR33_HUMAN"	"pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein of 146 kDa)"	"WDR33"	"GO:0001650; GO:0003723; GO:0005634; GO:0005654; GO:0005847; GO:0006301; GO:0007283; GO:0031124"	"DNA damage tolerance [GO:0006301]; mRNA 3'-end processing [GO:0031124]; spermatogenesis [GO:0007283]"	"fibrillar center [GO:0001650]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"RNA binding [GO:0003723]"	"WD repeat WDR33 family"	"DOMAIN 618..770; /note=""Collagen-like"""
"Q9GZR2"	"reviewed"	"REXO4_HUMAN"	"RNA exonuclease 4 (EC 3.1.-.-) (Exonuclease XPMC2) (Prevents mitotic catastrophe 2 protein homolog) (hPMC2)"	"REXO4"	"GO:0003690; GO:0003697; GO:0003723; GO:0004519; GO:0004527; GO:0005634; GO:0005654; GO:0005730; GO:0006281; GO:0006308; GO:0006355; GO:0006364; GO:0006396; GO:0008408"	"DNA catabolic process [GO:0006308]; DNA repair [GO:0006281]; regulation of DNA-templated transcription [GO:0006355]; RNA processing [GO:0006396]; rRNA processing [GO:0006364]"	"nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"3'-5' exonuclease activity [GO:0008408]; double-stranded DNA binding [GO:0003690]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]"	"REXO4 family"	"DOMAIN 243..394; /note=""Exonuclease"""
"Q9H0W9"	"reviewed"	"BKGD_HUMAN"	"Beta-keto L-gulonate decarboxylase (BKGD) (EC 4.1.1.34)"	"BKGD"	"GO:0005634; GO:0005737; GO:0006282; GO:0006974; GO:0008270; GO:0016788; GO:0047842; GO:0070062"	"DNA damage response [GO:0006974]; regulation of DNA repair [GO:0006282]"	"cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]"	"dehydro-L-gulonate decarboxylase activity [GO:0047842]; hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]"	""	""
"Q9H160"	"reviewed"	"ING2_HUMAN"	"Inhibitor of growth protein 2 (Inhibitor of growth 1-like protein) (ING1Lp) (p32) (p33ING2)"	"ING2"	"GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0005654; GO:0005886; GO:0006351; GO:0006355; GO:0006974; GO:0007141; GO:0007165; GO:0007283; GO:0007286; GO:0008270; GO:0016602; GO:0030317; GO:0030336; GO:0030511; GO:0030512; GO:0035033; GO:0035091; GO:0044877; GO:0045814; GO:0045893; GO:0048133; GO:0070822; GO:0072520; GO:0140002; GO:0140566; GO:1902166; GO:1902455; GO:1902459; GO:2000772"	"DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; flagellated sperm motility [GO:0030317]; male germ-line stem cell asymmetric division [GO:0048133]; male meiosis I [GO:0007141]; negative regulation of cell migration [GO:0030336]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of stem cell population maintenance [GO:1902459]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of cellular senescence [GO:2000772]; regulation of DNA-templated transcription [GO:0006355]; seminiferous tubule development [GO:0072520]; signal transduction [GO:0007165]; spermatid development [GO:0007286]; spermatogenesis [GO:0007283]"	"CCAAT-binding factor complex [GO:0016602]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; Sin3-type complex [GO:0070822]"	"chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone deacetylase regulator activity [GO:0035033]; histone H3K4me3 reader activity [GO:0140002]; histone reader activity [GO:0140566]; phosphatidylinositol binding [GO:0035091]; protein-containing complex binding [GO:0044877]; zinc ion binding [GO:0008270]"	"ING family"	""
"Q9H1E3"	"reviewed"	"NUCKS_HUMAN"	"Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (P1)"	"NUCKS1"	"GO:0000724; GO:0000785; GO:0001678; GO:0003682; GO:0003690; GO:0003697; GO:0003713; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006275; GO:0006325; GO:0031297; GO:0035822; GO:0036297; GO:0043923; GO:0044827; GO:0044829; GO:0045944; GO:0046626; GO:0060382; GO:0071481; GO:0140297"	"cellular response to X-ray [GO:0071481]; chromatin organization [GO:0006325]; double-strand break repair via homologous recombination [GO:0000724]; gene conversion [GO:0035822]; host-mediated activation of viral genome replication [GO:0044829]; host-mediated activation of viral transcription [GO:0043923]; host-mediated perturbation of viral genome replication [GO:0044827]; interstrand cross-link repair [GO:0036297]; intracellular glucose homeostasis [GO:0001678]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of insulin receptor signaling pathway [GO:0046626]; replication fork processing [GO:0031297]"	"chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"chromatin binding [GO:0003682]; DNA-binding transcription factor binding [GO:0140297]; double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; transcription coactivator activity [GO:0003713]"	""	""
"Q9H1I8"	"reviewed"	"ASCC2_HUMAN"	"Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)"	"ASCC2"	"GO:0005634; GO:0005654; GO:0005829; GO:0006260; GO:0006307; GO:0006351; GO:0006355; GO:0016607; GO:0022626; GO:0032790; GO:0043130; GO:0070530; GO:0072344; GO:0180022; GO:1990116"	"DNA alkylation repair [GO:0006307]; DNA replication [GO:0006260]; DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]; rescue of stalled cytosolic ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]"	"cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RQC-trigger complex [GO:0180022]"	"K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; ubiquitin binding [GO:0043130]"	"ASCC2 family"	"DOMAIN 467..510; /note=""CUE""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00468"""
"Q9H2F5"	"reviewed"	"EPC1_HUMAN"	"Enhancer of polycomb homolog 1"	"EPC1"	"GO:0000122; GO:0000724; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006325; GO:0006351; GO:0006357; GO:0007286; GO:0016604; GO:0030674; GO:0031965; GO:0032777; GO:0035092; GO:0035267; GO:0035861; GO:0042981; GO:0045814; GO:0045892; GO:0045893; GO:0045944; GO:0051726; GO:0140463; GO:0140767; GO:1905168; GO:2000779"	"chromatin organization [GO:0006325]; DNA-templated transcription [GO:0006351]; double-strand break repair via homologous recombination [GO:0000724]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of double-strand break repair [GO:2000779]; regulation of transcription by RNA polymerase II [GO:0006357]; sperm DNA condensation [GO:0035092]; spermatid development [GO:0007286]"	"cytoplasm [GO:0005737]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear body [GO:0016604]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; piccolo histone acetyltransferase complex [GO:0032777]; site of double-strand break [GO:0035861]"	"chromatin-protein adaptor activity [GO:0140463]; enzyme-substrate adaptor activity [GO:0140767]; protein-macromolecule adaptor activity [GO:0030674]"	"Enhancer of polycomb family"	""
"Q9H2K8"	"reviewed"	"TAOK3_HUMAN"	"Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)"	"TAOK3"	"GO:0000165; GO:0004674; GO:0004860; GO:0005524; GO:0005737; GO:0005811; GO:0005886; GO:0006281; GO:0006468; GO:0006974; GO:0007095; GO:0016740; GO:0032874; GO:0043408; GO:0043507; GO:0045121; GO:0046329; GO:0046330; GO:0048812; GO:0106310"	"DNA damage response [GO:0006974]; DNA repair [GO:0006281]; MAPK cascade [GO:0000165]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of JNK cascade [GO:0046329]; neuron projection morphogenesis [GO:0048812]; positive regulation of JNK cascade [GO:0046330]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein phosphorylation [GO:0006468]; regulation of MAPK cascade [GO:0043408]"	"cytoplasm [GO:0005737]; lipid droplet [GO:0005811]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]"	"ATP binding [GO:0005524]; protein kinase inhibitor activity [GO:0004860]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transferase activity [GO:0016740]"	"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily"	"DOMAIN 24..277; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""
"Q9H334"	"reviewed"	"FOXP1_HUMAN"	"Forkhead box protein P1 (Mac-1-regulated forkhead) (MFH)"	"FOXP1"	"GO:0000785; GO:0000978; GO:0000981; GO:0001046; GO:0001227; GO:0002903; GO:0005634; GO:0005654; GO:0006351; GO:0006357; GO:0006974; GO:0008270; GO:0010468; GO:0010595; GO:0010629; GO:0021756; GO:0030316; GO:0032496; GO:0032651; GO:0032655; GO:0032680; GO:0032745; GO:0033574; GO:0036035; GO:0042116; GO:0042117; GO:0042118; GO:0042802; GO:0045655; GO:0045892; GO:0048661; GO:0050681; GO:0050727; GO:0050861; GO:0060766; GO:0061052; GO:0061470; GO:0071356; GO:1900424; GO:1901256; GO:1901300; GO:1901509; GO:1990837; GO:2000341"	"cellular response to tumor necrosis factor [GO:0071356]; DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; endothelial cell activation [GO:0042118]; macrophage activation [GO:0042116]; monocyte activation [GO:0042117]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; osteoclast development [GO:0036035]; osteoclast differentiation [GO:0030316]; positive regulation of B cell receptor signaling pathway [GO:0050861]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of hydrogen peroxide-mediated programmed cell death [GO:1901300]; positive regulation of interleukin-21 production [GO:0032745]; positive regulation of smooth muscle cell proliferation [GO:0048661]; regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000341]; regulation of defense response to bacterium [GO:1900424]; regulation of endothelial tube morphogenesis [GO:1901509]; regulation of gene expression [GO:0010468]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 beta production [GO:0032651]; regulation of interleukin-12 production [GO:0032655]; regulation of macrophage colony-stimulating factor production [GO:1901256]; regulation of monocyte differentiation [GO:0045655]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of tumor necrosis factor production [GO:0032680]; response to lipopolysaccharide [GO:0032496]; response to testosterone [GO:0033574]; striatum development [GO:0021756]; T follicular helper cell differentiation [GO:0061470]"	"chromatin [GO:0000785]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"	"core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; nuclear androgen receptor binding [GO:0050681]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]"	""	"DOMAIN 332..372; /note=""FoxP leucine zipper (ZIP)""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01424"""
"Q9H4A3"	"reviewed"	"WNK1_HUMAN"	"Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)"	"WNK1"	"GO:0002028; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0006811; GO:0006884; GO:0006974; GO:0007165; GO:0007507; GO:0008217; GO:0010507; GO:0010766; GO:0010793; GO:0010820; GO:0016020; GO:0019901; GO:0019902; GO:0030295; GO:0030644; GO:0031397; GO:0032991; GO:0033633; GO:0034115; GO:0035556; GO:0035725; GO:0038116; GO:0043232; GO:0045050; GO:0045766; GO:0048666; GO:0050852; GO:0051058; GO:0055075; GO:0055080; GO:0071474; GO:0072686; GO:0090263; GO:0097022; GO:0106310; GO:0140693; GO:0140694; GO:1902305; GO:1903038; GO:1903077; GO:1903490; GO:1904062; GO:1904595; GO:1990869"	"cell volume homeostasis [GO:0006884]; cellular hyperosmotic response [GO:0071474]; cellular response to chemokine [GO:1990869]; chemokine (C-C motif) ligand 21 signaling pathway [GO:0038116]; DNA damage response [GO:0006974]; heart development [GO:0007507]; intracellular chloride ion homeostasis [GO:0030644]; intracellular signal transduction [GO:0035556]; lymphocyte migration into lymph node [GO:0097022]; membraneless organelle assembly [GO:0140694]; monoatomic cation homeostasis [GO:0055080]; monoatomic ion transport [GO:0006811]; negative regulation of autophagy [GO:0010507]; negative regulation of cell-cell adhesion mediated by integrin [GO:0033633]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of leukocyte cell-cell adhesion [GO:1903038]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; negative regulation of sodium ion transport [GO:0010766]; neuron development [GO:0048666]; positive regulation of angiogenesis [GO:0045766]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of mitotic cytokinesis [GO:1903490]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of termination of RNA polymerase II transcription [GO:1904595]; potassium ion homeostasis [GO:0055075]; protein insertion into ER membrane by stop-transfer membrane-anchor sequence [GO:0045050]; protein phosphorylation [GO:0006468]; regulation of blood pressure [GO:0008217]; regulation of monoatomic cation transmembrane transport [GO:1904062]; regulation of mRNA export from nucleus [GO:0010793]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of sodium ion transport [GO:0002028]; signal transduction [GO:0007165]; sodium ion transmembrane transport [GO:0035725]; T cell receptor signaling pathway [GO:0050852]"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membraneless organelle [GO:0043232]; membrane [GO:0016020]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]"	"ATP binding [GO:0005524]; molecular condensate scaffold activity [GO:0140693]; phosphatase binding [GO:0019902]; protein kinase activator activity [GO:0030295]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]"	"Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily"	"DOMAIN 221..479; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""
